#SampleID	group
CP_01	CP
CP_02	CP
CP_03	CP
CP_04	CP
CP_05	CP
CP_06	CP
CP_07	CP
CP_08	CP
CP_09	CP
CP_10	CP
CP_11	CP
CP_12	CP
CP_13	CP
CP_14	CP
CP_15	CP
CP_16	CP
CP_17	CP
CP_18	CP
CP_19	CP
CP_20	CP
CP_21	CP
CP_22	CP
CP_23	CP
CP_24	CP
CP_25	CP
CP_26	CP
CP_27	CP
CP_28	CP
CP_29	CP
CP_30	CP
CP_31	CP
CP_32	CP
CP_33	CP
CP_34	CP
CP_35	CP
CP_36	CP
CP_37	CP
CPR_01	CPR
CPR_02	CPR
CPR_03	CPR
CPR_04	CPR
CPR_05	CPR
CPR_06	CPR
CPR_07	CPR
CPR_08	CPR
CPR_09	CPR
CPR_10	CPR
CPR_11	CPR
CPR_12	CPR
CPR_13	CPR
CPR_14	CPR
CPR_15	CPR
CPR_16	CPR
CPR_17	CPR
CPR_18	CPR
