#SampleID	group
CP01	CP
CP53	CP
CP52	CP
CP51	CP
CP50	CP
CP49	CP
CP48	CP
CP54	CP
CP46	CP
CP44	CP
CP43	CP
CP42	CP
CP41	CP
CP40	CP
CP39	CP
CP45	CP
CP55	CP
CP56	CP
CP57	CP
CP72	CP
CP71	CP
CP70	CP
CP69	CP
CP68	CP
CP67	CP
CP66	CP
CP65	CP
CP64	CP
CP63	CP
CP62	CP
CP61	CP
CP60	CP
CP59	CP
CP58	CP
CP38	CP
CP37	CP
CP47	CP
CP35	CP
CP16	CP
CP15	CP
CP14	CP
CP13	CP
CP12	CP
CP11	CP
CP10	CP
CP09	CP
CP36	CP
CP07	CP
CP06	CP
CP05	CP
CP04	CP
CP03	CP
CP02	CP
CP17	CP
CP18	CP
CP08	CP
CP20	CP
CP19	CP
CP34	CP
CP33	CP
CP32	CP
CP30	CP
CP29	CP
CP28	CP
CP31	CP
CP26	CP
CP25	CP
CP24	CP
CP23	CP
CP22	CP
CP27	CP
CP21	CP
CPR20	CPR
CPR13	CPR
CPR14	CPR
CPR15	CPR
CPR18	CPR
CPR17	CPR
CPR19	CPR
CPR12	CPR
CPR16	CPR
CPR11	CPR
CPR03	CPR
CPR09	CPR
CPR08	CPR
CPR07	CPR
CPR06	CPR
CPR05	CPR
CPR04	CPR
CPR02	CPR
CPR01	CPR
CPR21	CPR
CPR10	CPR
CPR22	CPR
