ID	LipidIon	log_t.test_p.value_BHcorrect	logFC	VIP	VIP_num	Regulate
0.87_295.103461283133	MGMG(2:0)	0.102183045108682	-0.00222673483029998	VIP <1	0.19727960794475	Normal
0.88_619.289499246988	LPI(20:4)	1.56970923660411	0.32107110293377	VIP <1	0.530552680505709	Normal
0.91_595.289323831325	LPI(18:2)	2.33309428545693	0.473328073369273	VIP <1	0.818784066179059	Normal
0.97_586.315397524096	LPC(20:5)	0.85908336756493	0.431746307738817	VIP <1	0.798011921775502	Normal
0.97_621.304547987952	LPI(20:3)	0.00155924412342569	0.103819087761144	VIP <1	0.175535128122028	Normal
0.98_518.324440180723	LPC(18:3)(rep)	1.89118079154692	0.45242746565838	VIP <1	0.78408481667991	Normal
0.98_542.324177650602	LPC(20:5)(rep)	1.31626186829554	0.924724825604	VIP >=1	1.09021271661048	Up
0.98_562.315542993976	LPC(18:3)	1.96097711426356	0.454287271590763	VIP <1	0.75658915875649	Normal
1.02_468.308747590361	LPC(14:0)(rep)	0.598834664804498	-0.0644532184636136	VIP <1	0.587198115260759	Normal
1.02_512.29966746988	LPC(14:0)	0.828603503210246	-0.0934387049031521	VIP <1	0.62843857787338	Normal
1.04_568.339918439759	LPC(22:6)(rep)	1.60831656375281	0.427462434107978	VIP <1	0.698527620678595	Normal
1.04_612.331298710843	LPC(22:6)	1.33188620703746	0.358953539126848	VIP <1	0.649170758239338	Normal
1.06_457.236080391566	LPA(20:4)	3.13648872688823	2.24412322023824	VIP >=1	1.29530868492694	Up
1.06_516.306764939759	LPC(18:4)	0.990766533853669	0.244142494845327	VIP <1	0.522885718262927	Normal
1.08_494.324277819277	LPC(16:1)(rep)	2.76708590303249	0.392626520268367	VIP <1	0.866445963327458	Normal
1.08_526.29288410241	LPE(22:6)	1.45192071361844	0.365708171049761	VIP <1	0.657698252562011	Normal
1.08_538.315414680723	LPC(16:1)	2.85203216972724	0.375945726468165	VIP <1	0.853278290419827	Normal
1.09_597.304552475904	LPI(18:1)	0.0783595276480847	0.0394032189699881	VIP <1	0.201394473352275	Normal
1.1_544.339726313253	LPC(20:4)(rep)	1.07560915929585	0.29695663391769	VIP <1	0.603538536762152	Normal
1.1_588.331305560241	LPC(20:4)	0.973001786642326	0.266382606370215	VIP <1	0.56776921830378	Normal
1.14_502.29292076506	LPC(17:4)	0.821653732087515	0.215261400876168	VIP <1	0.413390999632951	Normal
1.14_509.288500373494	LPG(18:1)	0.745546504920045	0.404194812599038	VIP <1	0.518694796229034	Normal
1.14_520.340064771084	LPC(18:2)(rep)	1.94143096651577	0.347172577584548	VIP <1	0.730803820953143	Normal
1.14_564.33128939759	LPC(18:2)	2.09837411391777	0.373035393869836	VIP <1	0.731816628807871	Normal
1.15_502.292864054217	LPE(20:4)	0.652962117740807	0.202971168699691	VIP <1	0.376475730988559	Normal
1.15_504.309874415663	LdMePE(18:2)	2.03352894520029	0.38719297626256	VIP <1	0.736340258287366	Normal
1.16_570.35569860241	LPC(22:5)(rep)	0.538602836967488	0.185959891157473	VIP <1	0.545149727267254	Normal
1.16_614.346611439759	LPC(22:5)	0.0547309010755429	0.0256850470869133	VIP <1	0.359643973226425	Normal
1.17_482.324204391566	LPC(15:0)(rep)	0.346374663795799	0.139075958865161	VIP <1	0.509594692572199	Normal
1.17_504.308442506024	LPC(17:3)	0.00240809558362832	0.250127145886383	VIP <1	0.179255454113624	Normal
1.17_526.31512486747	LPC(15:0)	0.360281955595957	0.145186013062181	VIP <1	0.517116247132985	Normal
1.19_478.29298223494	LPC(15:2)	0.505637863166031	0.219718487801586	VIP <1	0.49462380359829	Normal
1.19_478.293058451807	LPE(18:2)	0.505433342016142	0.219591561170753	VIP <1	0.494175358259151	Normal
1.23_508.340094168675	LPC(17:1)(rep)	2.91532534715293	0.437788009764354	VIP >=1	1.02179186642912	Up
1.23_552.33073173494	LPC(17:1)	3.33046416727144	0.490867098446441	VIP >=1	1.0973475866383	Up
1.24_546.355537216867	LPC(20:3)(rep)	0.66526700941223	0.22467997000124	VIP <1	0.500114645192425	Normal
1.25_590.346967981928	LPC(20:3)	0.935755779022517	0.274509354610909	VIP <1	0.557218578791293	Normal
1.29_506.36050160241	LPC(18:1p)	1.56970923660411	0.40500777150131	VIP <1	0.779168406555416	Normal
1.29_528.30848423494	LPC(19:5)	0.0431726827322509	0.0789645494176262	VIP <1	0.385981484173447	Normal
1.3_504.308463753012	LPE(20:3)	0.126638784586965	-0.0372424416968744	VIP <1	0.618100824354481	Normal
1.33_518.322317090361	LPC(18:3)(rep)(rep)	2.212403252929	0.369946735115418	VIP <1	0.862618289082751	Normal
1.36_478.32915389759	LPC(16:1p)	2.25546994971059	0.224332815620327	VIP <1	0.576879102260793	Normal
1.36_480.309790349398	LdMePE(16:0)	4.34341140736241	0.301517419372472	VIP <1	0.810454320871109	Normal
1.36_496.339745933735	LPC(16:0)(rep)	4.21366621567919	0.257469878236242	VIP <1	0.762459151156666	Normal
1.36_540.331417692771	LPC(16:0)	4.45257095677923	0.295731990535203	VIP <1	0.809766119843139	Normal
1.37_572.371197114458	LPC(22:4)	0.123236925958886	0.0361869287392474	VIP <1	0.155854319472028	Normal
1.4_599.320623301205	LPI(18:0)	0.0306323315311791	0.00177215927433645	VIP <1	0.411392299642338	Normal
1.43_454.292840740964	LPE(16:0)	3.58463783094462	0.398107331650633	VIP <1	0.957220465221896	Normal
1.43_506.325217120482	LdMePE(18:1)	5.33473262335592	0.422274638631635	VIP >=1	1.01076188997173	Up
1.43_522.355771180723	LPC(18:1)(rep)	4.37942454599801	0.361320904012122	VIP <1	0.954440917426406	Normal
1.43_566.346840524096	LPC(18:1)	4.40686731617901	0.399728343263309	VIP <1	0.989006862628309	Normal
1.44_544.338153301205	LPC(20:4)(rep)(rep)	5.23721661264952	0.536744268801582	VIP >=1	1.18606507433878	Up
1.47_530.324118987952	LPC(19:4)	0.0332610821228194	0.891522806617565	VIP <1	0.737552654948877	Normal
1.5_480.30858013253	LPC(15:1)	0.12748961634759	0.0730522815360297	VIP <1	0.61363941154193	Normal
1.51_570.355408445783	LPC(22:5)(rep)(rep)	1.95562504414805	0.49287044020051	VIP <1	0.81674331534187	Normal
1.52_480.344790855422	LPC(16:0p)	0.945679777903698	0.216408954728125	VIP <1	0.534028919726343	Normal
1.52_548.371294349398	LPC(20:2)(rep)	3.5961291207979	0.457317236404089	VIP <1	0.956447859929438	Normal
1.52_592.362624740964	LPC(20:2)	4.49946021407726	0.501746161331696	VIP >=1	1.00895598422689	Up
1.59_482.360674373494	LPC(16:0e)	1.05159124999009	0.207342190971696	VIP <1	0.474584706124194	Normal
1.6_506.360970771084	LPC(18:1p)(rep)	1.17893526365832	0.262849714428377	VIP <1	0.705548668471	Normal
1.6_510.355793084337	LPC(17:0)(rep)	1.39727097682006	0.265551869770968	VIP <1	0.663733702258578	Normal
1.6_532.339311289157	LPC(19:3)	3.05093605982467	0.819257152059022	VIP >=1	1.26718180456825	Up
1.61_554.346912403615	LPC(17:0)	1.50433634550951	0.302108025511938	VIP <1	0.734590035029115	Normal
1.66_508.376853927711	LPC(18:0p)	1.9093656806507	0.31334200215042	VIP <1	0.754080540592941	Normal
1.67_501.393841803681	MG(29:6)	0.626781654489652	0.254778886807123	VIP <1	0.529303811025878	Normal
1.67_536.371347355422	LPC(19:1)	2.33309428545693	0.376670347969279	VIP <1	0.841860837105843	Normal
1.69_355.284285229167	MG(18:2)	0.837884102880253	-1.53180533486394	VIP >=1	1.05485544955525	Normal
1.71_372.310840361446	MG(18:2)(rep)	0.596997668618378	0.351219922324759	VIP <1	0.780687145719812	Normal
1.77_534.391811361446	LPC(20:1p)	1.04691321585897	0.318056403442233	VIP <1	0.765786579845453	Normal
1.81_546.353217879518	LPC(20:3)(rep)(rep)	2.26353580805035	1.19592895525836	VIP >=1	1.14065788343987	Up
1.91_482.324157698795	LPC(15:0)(rep)(rep)	1.08511142155078	0.355228165495271	VIP <1	0.926057005564595	Normal
1.91_482.324223072289	LPE(18:0)	1.70469899263246	0.713246827196993	VIP >=1	1.14888936808674	Up
1.91_506.360636843373	LPC(18:1p)(rep)(rep)	0.620076683103778	0.13643150610483	VIP <1	0.460344568204693	Normal
1.91_524.371191289157	LPC(18:0)(rep)(rep)	1.99885176395601	0.252157259916162	VIP <1	0.600207409460109	Normal
1.91_568.362978349398	LPC(18:0)(rep)	2.14931931931281	0.243724493893682	VIP <1	0.63759142041993	Normal
1.92_508.341100542169	LdMePE(18:0)	2.70150393156674	0.287752910743136	VIP <1	0.683679644465963	Normal
1.96_520.3406648	LPC(18:2)(rep)(rep)	3.76229085123707	-0.459342670523653	VIP >=1	1.07316342798344	Down
10_712.645038807229	TG(16:0/10:0/14:0)	1.57122842591835	-1.3834536839669	VIP >=1	1.78620681950637	Down
10_908.77017869697	TG(18:1/18:3/19:3)	0.201217023393766	0.184244172008236	VIP <1	0.539053281271378	Normal
10.01_740.676273319277	TG(42:0)	1.56970923660411	-0.906405512084981	VIP >=1	1.56210714017024	Down
10.02_738.660803343373	TG(16:0/8:0/18:1)	2.25963472707847	-1.43536865191944	VIP >=1	1.8240254678079	Down
10.02_766.691925355422	TG(44:1)	2.03016736287601	-1.11026139494397	VIP >=1	1.54268990370527	Down
10.04_792.707586451807	TG(18:0/10:0/18:2)	2.17354986800504	-0.800760992895229	VIP >=1	1.38030987176484	Down
10.05_764.676609162651	TG(16:0/10:0/18:2)	1.99170678940824	-1.10413208905412	VIP >=1	1.53740183719805	Down
10.07_790.692131650602	TG(14:0/14:0/18:3)	1.69129257072272	-0.719448258115365	VIP >=1	1.28035770509856	Down
10.08_818.723253596385	TG(18:1/12:0/18:2)	1.57436233141357	-0.451222042637416	VIP <1	0.937222675256641	Normal
10.1_968.77080973494	TG(18:2/20:4/22:6)	0.811708280049033	0.384147946207431	VIP <1	0.645490531282692	Normal
10.11_816.707697138554	TG(16:1/14:0/18:3)	0.0783595276480847	0.115803713430424	VIP <1	0.806830516217629	Normal
10.11_918.755200415663	TG(18:3/18:2/20:4)	0.829879801061192	0.327170066264989	VIP <1	0.75172751318211	Normal
10.11_923.709911620482	TG(56:9)	3.02173367570174	0.535946770102743	VIP >=1	1.17835268775154	Up
10.12_844.738867424242	TG(18:1/14:0/18:3)	0.324072350392338	0.021194537617711	VIP <1	0.642366667564731	Normal
10.12_854.723370463855	TG(15:1/18:2/18:3)	0.774656397956553	-0.195129981007419	VIP <1	0.778885420253556	Normal
10.13_880.738951573171	TG(18:2/17:3/18:2)	0.130773730486672	0.196298494066197	VIP <1	0.70814201815861	Normal
10.13_943.678632174699	TG(58:13)	0.0012100833383801	0.402733727825134	VIP <1	0.227036883764405	Normal
10.13_946.785764966667	TG(22:5/18:2/18:2)	2.47937651942351	0.688362741515589	VIP >=1	1.20660441645095	Up
10.16_726.660636448485	TG(15:0/12:0/14:0)	1.05730933835461	-1.33845935241199	VIP >=1	1.62034288750904	Normal
10.16_884.770183542169	TG(19:2/17:1/17:2)	0.891409692854204	0.284396174063635	VIP <1	0.765219784252685	Normal
10.17_842.723497018072	TG(14:0/18:2/18:3)	0.359003770627375	0.0346862642847135	VIP <1	0.807822162692813	Normal
10.18_752.676286276074	TG(16:0/9:0/18:1)	2.09208712842466	-1.45674713587197	VIP >=1	1.79526549242527	Down
10.21_778.691961716867	TG(15:0/12:0/18:2)	1.2814642075528	-0.789391208426172	VIP >=1	1.13364563622513	Normal
10.21_894.755273698795	TG(18:3/18:2/18:2)	1.03466998728499	-0.175636752503525	VIP <1	0.771338065291378	Normal
10.21_910.785815957831	TG(18:1/18:1/19:4)	0.769507615737959	0.318429116732894	VIP <1	0.728915909102983	Normal
10.21_936.801497060241	TG(19:2/19:2/19:3)	0.159485681424924	-0.00301244119431845	VIP <1	0.153947965380566	Normal
10.23_868.739161457831	TG(16:1/18:2/18:3)	0.130773730486672	0.108041500689945	VIP <1	0.700033785452715	Normal
10.23_944.770509012048	TG(18:2/18:2/22:6)	1.1433204237711	0.317126611083905	VIP <1	0.734661459264761	Normal
10.24_922.785772327273	TG(20:3/18:2/18:2)	0.373674201562115	-0.0879152632333926	VIP <1	0.294355682811413	Normal
10.24_972.801468831325	TG(18:1/20:4/22:5)	0.83472776078157	0.330636662767235	VIP <1	0.611045988228203	Normal
10.25_804.707607518072	TG(15:0/14:0/18:3)	0.965693778700298	-0.443150818835767	VIP <1	0.95184155434361	Normal
10.28_863.691830349398	Co(Q10)	0.525901960398603	-0.123088976703254	VIP <1	0.383278776291865	Normal
10.29_830.723320289157	TG(18:2/13:0/18:2)	0.627161414631163	-0.127510415027182	VIP <1	0.775197258058999	Normal
10.32_906.754563885542	TG(15:0/18:2/22:6)	0.176352528296018	0.144309753791264	VIP <1	0.563247553320317	Normal
10.34_740.676384945783	TG(16:0/12:0/14:0)	1.67944193521585	-1.20086916655723	VIP >=1	1.70796440052208	Down
10.34_766.692135138554	TG(16:0/10:0/18:1)	2.10762148114461	-1.13863953454625	VIP >=1	1.60130086751916	Down
10.34_856.739418560241	TG(15:0/18:2/18:3)	0.343130987025361	-0.0489810082804879	VIP <1	0.607391118864994	Normal
10.34_882.754648084337	TG(18:3/17:1/18:2)	0.049094244472471	0.0675199110600082	VIP <1	0.579045725746016	Normal
10.34_948.801454286585	TG(18:1/18:2/22:5)	2.44221591113667	0.595461748914552	VIP >=1	1.08533076073704	Up
10.35_920.770647608434	TG(18:2/18:2/20:4)	1.48341622630045	0.373787792189817	VIP <1	0.832066338897847	Normal
10.35_996.801473319277	TG(18:1/22:5/22:6)	0.00592162462818779	-0.0340958799486333	VIP <1	0.212516461906943	Normal
10.36_792.707836240964	TG(14:0/14:0/18:2)	1.70035995889985	-0.566078108000153	VIP >=1	1.19026799104079	Down
10.36_970.786084433735	TG(22:5/18:2/20:4)	0.66245239507771	0.298019054044115	VIP <1	0.521389861072203	Normal
10.37_818.723485662651	TG(16:0/14:0/18:3)	0.870086112353075	-0.150599584505182	VIP <1	0.870254212009196	Normal
